dispnum3,dispnum4,stday,stmon,styear,endday,endmon,endyear,outcome,settle,fatality,fatalpre,maxdur,mindur,hiact,hostlev,recip,numa,numb,link1,link2,link3,ongo2010,version,changes_1,changes_2,deaths
2,,,7,1902,24,1,1903,Compromise,Negotiated,0,0,208,178,7,3,FALSE,1,1,0,0,0,FALSE,4.2,0,0,FALSE
3,,2,5,1913,25,10,1913,B yield,None,0,0,177,177,8,3,FALSE,1,1,0,0,0,FALSE,4.2,0,0,FALSE
4,,15,5,1946,13,11,1946,Stalemate,None,2,,183,183,16,4,TRUE,1,1,0,0,0,FALSE,4.2,0,0,TRUE
7,,13,10,1951,26,1,1952,A victory,None,2,,106,106,17,4,TRUE,1,1,0,0,0,FALSE,4.2,0,0,TRUE
8,,,7,1856,5,4,1857,A victory,Imposed,6,,257,227,20,5,TRUE,1,1,0,0,0,FALSE,4.2,1,2,TRUE
9,,29,12,1889,10,1,1890,Compromise,Negotiated,0,0,13,13,7,3,FALSE,1,1,0,0,0,FALSE,4.2,0,0,FALSE
11,,11,3,1938,12,3,1938,B yield,Negotiated,0,0,2,2,14,4,FALSE,1,1,0,0,0,FALSE,4.2,0,0,FALSE
12,,11,3,1938,30,9,1938,B yield,Negotiated,0,0,204,204,16,4,TRUE,1,5,0,0,0,FALSE,4.2,0,0,FALSE
13,,6,4,1863,17,8,1863,A victory,Imposed,,,134,134,15,4,FALSE,3,1,0,0,0,FALSE,4.2,0,0,
14,,15,10,1895,31,12,1895,B yield,None,0,0,78,78,7,3,FALSE,1,1,0,0,0,FALSE,4.2,0,0,FALSE
15,,,1,1839,23,3,1839,Compromise,Negotiated,0,0,82,52,15,4,TRUE,1,1,0,0,0,FALSE,4.2,0,0,FALSE
16,,25,12,1897,5,2,1898,B yield,None,0,0,43,43,8,3,FALSE,2,2,0,0,0,FALSE,4.2,6,0,FALSE
19,,15,1,1848,23,3,1849,Stalemate,Negotiated,6,,434,434,20,5,TRUE,1,3,0,0,0,FALSE,4.2,0,0,TRUE
20,,18,11,1945,9,5,1946,A yield,Negotiated,0,0,173,173,7,3,FALSE,1,1,0,0,0,FALSE,4.2,0,0,FALSE
21,,21,11,1912,3,12,1912,Stalemate,None,0,0,13,13,10,3,FALSE,1,2,0,0,0,FALSE,4.2,0,0,FALSE
22,,9,6,1940,17,6,1940,A victory,Imposed,,,9,9,16,4,TRUE,1,1,0,0,0,FALSE,4.2,0,0,
23,,,3,1939,18,10,1939,B yield,Negotiated,0,0,232,202,13,4,FALSE,1,1,0,0,0,FALSE,4.2,0,0,FALSE
