"","sidea","revstate","revtype1","fatality","hiact","hostlev","orig","last_days"
"1",0,1,1,0,0,1,1,207
"2",1,1,1,0,7,3,1,207
"3",0,0,0,0,0,1,1,176
"4",1,1,2,0,8,3,1,176
"5",1,0,0,0,16,4,1,182
"6",0,0,0,1,7,3,1,182
"7",1,0,0,1,17,4,1,105
"8",0,1,2,1,17,4,1,105
"9",0,0,0,1,20,5,1,278
"10",1,1,2,1,20,5,1,278
"11",0,0,0,0,0,1,1,12
"12",1,1,1,0,7,3,1,12
"13",0,0,0,0,0,1,1,1
"14",1,1,1,0,14,4,1,1
"15",0,0,0,0,7,3,0,14
"16",0,0,0,0,7,3,0,23
"17",0,0,0,0,7,3,0,35
"18",0,0,0,0,10,3,0,23
"19",1,1,1,0,16,4,1,203
"20",0,0,0,0,16,4,1,203
"23",1,0,0,0,1,2,0,1
"24",1,0,0,0,1,2,0,1
"25",0,0,0,0,0,1,1,77
"26",1,1,2,0,7,3,1,77
"27",1,1,1,0,7,3,1,81
"28",0,1,1,0,15,4,1,81
"29",0,0,0,0,0,1,1,42
"30",0,1,2,0,8,3,1,42
"31",1,1,2,0,7,3,1,42
"32",1,1,2,0,7,3,1,42
"33",0,0,0,1,20,5,0,161
"34",0,0,0,1,20,5,0,161
"35",0,1,1,1,20,5,1,433
"36",1,0,0,1,20,5,1,433
"37",0,0,0,0,0,1,1,172
"38",1,1,2,0,7,3,1,172
"39",0,1,1,0,0,1,1,12
"40",0,1,2,0,0,1,1,12
"41",1,1,2,0,10,3,1,12
"44",0,0,0,0,0,1,1,231
"45",1,1,2,0,13,4,1,231
"46",0,0,0,0,7,3,0,51
"50",1,1,1,0,2,2,0,46
"51",0,0,0,0,13,4,1,491
"52",0,0,0,0,13,4,1,491
"53",0,0,0,0,13,4,1,491
"54",1,1,1,0,16,4,1,491
"55",0,0,0,0,7,3,0,10
"56",0,0,0,0,7,3,0,10
"57",1,0,0,0,7,3,0,76
"58",1,0,0,0,7,3,0,76
"59",1,0,0,0,10,3,1,95
"60",0,1,2,0,15,4,0,76
"61",0,1,2,0,13,4,1,95
"62",1,0,0,0,17,4,0,76
"63",0,0,0,1,17,4,1,48
"64",1,1,2,1,13,4,1,48
"67",1,0,0,1,16,4,1,78
"68",1,0,0,1,16,4,1,78
"69",1,0,0,1,16,4,1,78
"70",1,0,0,1,20,5,1,78
"71",1,1,2,1,20,5,1,78
"72",1,0,0,1,20,5,1,78
"73",1,1,2,1,20,5,1,78
"74",1,1,2,1,20,5,1,78
"75",0,0,0,1,20,5,1,78
"76",0,0,0,0,7,3,1,7
"77",1,1,2,0,16,4,1,7
"78",1,0,0,1,14,4,1,222
"79",0,0,0,1,17,4,1,222
"80",0,0,0,1,20,5,1,190
"81",1,0,0,1,20,5,1,190
"82",1,1,2,0,17,4,1,112
"83",0,0,0,0,17,4,1,112
"84",1,1,1,0,1,2,0,1
"85",0,1,1,0,7,3,0,4
"86",1,1,1,0,7,3,1,1072
"87",0,1,1,1,17,4,1,1072
"88",1,1,1,1,17,4,1,1072
"89",0,0,0,0,20,5,0,1124
"90",0,0,0,1,20,5,0,1045
"91",0,0,0,1,20,5,0,965
"92",0,0,0,1,20,5,0,961
"93",0,0,0,1,20,5,0,919
"94",0,0,0,1,20,5,0,782
"95",0,0,0,1,20,5,0,993
"96",0,0,0,1,16,4,0,612
"97",0,0,0,1,16,4,0,730
"98",0,0,0,1,20,5,0,818
"99",0,0,0,1,20,5,0,1124
"100",0,0,0,1,20,5,0,938
"101",0,0,0,1,20,5,0,1122
"102",0,0,0,1,20,5,0,1013
"103",0,0,0,1,20,5,0,1125
"104",1,0,0,1,20,5,0,1031
"105",0,1,1,1,20,5,1,1129
"106",0,0,0,1,20,5,0,1126
"107",1,1,1,1,20,5,1,1129
"108",0,0,0,0,7,3,1,1
"109",1,0,0,0,16,4,1,1
"110",0,0,0,0,0,1,1,29
"111",1,1,1,0,16,4,1,29
"115",1,1,2,0,16,4,1,181
"116",1,1,2,0,16,4,1,181
"117",1,1,2,0,16,4,1,181
"118",1,1,2,0,16,4,1,181
"119",1,1,2,0,16,4,1,181
"120",0,0,0,0,7,3,0,710
"121",1,1,2,1,20,5,1,1034
"122",0,0,0,1,20,5,0,445
"123",0,0,0,1,20,5,1,1034
"124",0,0,0,1,20,5,0,1021
"125",0,0,0,1,20,5,0,1021
"126",1,1,3,0,13,4,1,318
"127",0,0,0,0,16,4,1,318
"128",0,0,0,0,16,4,1,318
"129",0,0,0,0,0,1,1,184
"130",1,1,2,0,7,3,1,184
"131",0,0,0,0,0,1,1,1
"132",1,1,1,0,1,2,1,1
"133",1,0,0,0,7,3,1,6
"134",0,0,0,0,0,1,1,6
"135",1,0,0,0,7,3,1,6
"136",1,0,0,0,7,3,1,6
"137",0,0,0,0,0,1,1,39
"138",1,0,0,0,2,2,1,39
"139",1,0,0,0,7,3,1,39
"140",0,0,0,0,0,1,1,980
"141",1,1,3,0,16,4,1,980
"142",0,0,0,0,0,1,1,100
"143",1,1,2,0,13,4,1,100
"144",1,1,1,0,7,3,1,47
"145",0,0,0,0,7,3,1,47
